1.0.8
;1-1;1;1;;;;brain
;1-1-1;1;1;1;;;cerebellum
;1-1-2;1;1;2;;;sella turcica
;1-2;1;2;;;;face
;1-2-1;1;2;1;;;orbit
;1-2-1-1;1;2;1;1;;lacrimal canaliculus
;1-2-1-2;1;2;1;2;;eye
;1-2-2;1;2;2;;;jaws
;1-2-2-1;1;2;2;1;;maxilla
;1-2-2-2;1;2;2;2;;mandible
;1-2-2-3;1;2;2;3;;temporomandibular join
;1-2-2-4;1;2;2;4;;tooth
;1-2-3;1;2;3;;;paranasal sinuses
;1-2-4;1;2;4;;;temporal bone
;1-2-5;1;2;5;;;base of skull
;1-2-6;1;2;6;;;nasal bone
;1-2-7;1;2;7;;;salivary glands
;1-2-7-1;1;2;7;1;;duct of salivary gland
;1-2-8;1;2;8;;;base of  mouth
;1-2-9;1;2;9;;;zygomatic arch
;1-2-10;1;2;10;;;tongue
;2;2;;;;;neck
;2-1;2;1;;;;trachea
;2-2;2;2;;;;throid gland
;2-3;2;3;;;;parathyroid gland
;2-4;2;4;;;;pharynx
;2-5;2;5;;;;esophagus (cervical)
;2-6;2;6;;;;larynx
;3;3;;;;;thorax
;3-1;3;1;;;;lung
;3-1-1;3;1;1;;;bronchi
;3-1-2;3;1;2;;;pleura
;3-2;3;2;;;;mediastinum
;3-3;3;3;;;;heart
;3-3-1;3;3;1;;;myocardium
;3-3-2;3;3;2;;;valves
;3-3-3;3;3;3;;;conduction system
;3-4;3;4;;;;esophagus
;3-5;3;5;;;;chest wall
;3-5-1;3;5;1;;;bony thorax
;3-5-2;3;5;2;;;sternum
;3-5-3;3;5;3;;;ribs
;4;4;;;;;abdomen
;4-1;4;1;;;;upper abdomen
;4-1-1;4;1;1;;;liver / spleen
;4-1-1-1;4;1;1;1;;gallbladder / bile duct
;4-1-1-2;4;1;1;2;;liver
;4-1-1-3;4;1;1;3;;spleen
;4-1-2;4;1;2;;;pancreas
;4-1-2-1;4;1;2;1;;pancreatic duct
;4-2;4;2;;;;intestinal tract
;4-2-1;4;2;1;;;stomach / duodenum
;4-2-2;4;2;2;;;small intestine
;4-2-3;4;2;3;;;bowel
;4-2-3-1;4;2;3;1;;appendix
;4-2-3-2;4;2;3;2;;rectum
;4-3;4;3;;;;ardrenal glands
;4-4;4;4;;;;urinary tract
;4-4-1;4;4;1;;;kidney
;4-4-1-1;4;4;1;1;;renal pelvis
;4-4-2;4;4;2;;;ureter
;4-4-3;4;4;3;;;urinary bladder
;4-4-4;4;4;4;;;urethra
;4-4-5;4;4;5;;;NTX (renal transplant)
;4-5;4;5;;;;lower abdomen /pelvis
;4-5-1;4;5;1;;;uterus
;4-5-2;4;5;2;;;fallopian tubes
;4-5-3;4;5;3;;;ovary
;4-5-4;4;5;4;;;pregnancy
;4-5-5;4;5;5;;;prostate
;4-5-6;4;5;6;;;scrotum /testis
;4-5-7;4;5;7;;;penis
;4-5-8;4;5;8;;;bony pelvis
;4-6;4;6;;;;abdominal wal
;4-7;4;7;;;;retroperitoneum
;5;5;;;;;musculoskeletal
;5-1;5;1;;;;upper extremity
;5-1-1;5;1;1;;;shoulder
;5-1-1-1;5;1;1;1;;scapula
;5-1-1-2;5;1;1;2;;clavicle
;5-1-1-3;5;1;1;3;;sternoclavicular joint
;5-1-1-4;5;1;1;4;;acromio-clavicular joint
;5-1-2;5;1;2;;;axilla
;5-1-3;5;1;3;;;arm
;5-1-4;5;1;4;;;elbow
;5-1-5;5;1;5;;;forearm
;5-1-6;5;1;6;;;carpus (deprecated)
;5-1-7;5;1;7;;;hand
;5-1-7-1;5;1;7;1;;finger
;5-1-7-2;5;1;7;2;;wrist
;5-1-7-3;5;1;7;3;;metacarpus
;5-1-7-4;5;1;7;4;;carpus
;5-2;5;2;;;;lower extremity
;5-2-1;5;2;1;;;hip
;5-2-2;5;2;2;;;inguinal region
;5-2-3;5;2;3;;;thigh
;5-2-4;5;2;4;;;knee
;5-2-4-1;5;2;4;1;;patella
;5-2-5;5;2;5;;;leg
;5-2-6;5;2;6;;;ankle
;5-2-7;5;2;7;;;foot
;5-2-7-1;5;2;7;1;;toe
;5-2-7-2;5;2;7;2;;heel
;5-2-7-3;5;2;7;3;;metatarsal
;5-2-7-4;5;2;7;4;;tarsal
;5-2-7-5;5;2;7;5;;Achilles tendon
;5-2-7-6;5;2;7;6;;forefoot
;5-3;5;3;;;;spine
;5-3-1;5;3;1;;;cervical spine
;5-3-2;5;3;2;;;thoracic spine
;5-3-3;5;3;3;;;lumbar spine
;5-3-4;5;3;4;;;sacrum / coccyx / sacroiliac joint
;5-3-5;5;3;5;;;total spine
;6;6;;;;;blood vessel
;6-1;6;1;;;;arteries
;6-1-1;6;1;1;;;intracarnial
;6-1-1-1;6;1;1;1;;anterior cerebral artery
;6-1-1-2;6;1;1;2;;middle cerebral artery
;6-1-1-3;6;1;1;3;;posteroir cerebral artery
;6-1-1-4;6;1;1;4;;basilar artery
;6-1-1-5;6;1;1;5;;cerebral arterial circle
;6-1-2;6;1;2;;;aorta
;6-1-2-1;6;1;2;1;;thoracic aorta
;6-1-2-2;6;1;2;2;;abdominal aorta
;6-1-3;6;1;3;;;aortic branches
;6-1-3-1;6;1;3;1;;neck (carotid artery / vertebral artery)
;6-1-3-1-1;6;1;3;1;1;common carotid artery
;6-1-3-1-2;6;1;3;1;2;external carotid artery
;6-1-3-1-3;6;1;3;1;3;internal carotid artery
;6-1-3-1-4;6;1;3;1;4;vertebral artery
;6-1-3-2;6;1;3;2;;coronary arteries
;6-1-3-3;6;1;3;3;;pulmonary arteries
;6-1-3-4;6;1;3;4;;viscerial arteries
;6-1-3-4-1;6;1;3;4;1;celiac artery
;6-1-3-4-2;6;1;3;4;2;superior mesenteric artery
;6-1-3-4-3;6;1;3;4;3;inferior mesenteric artery
;6-1-3-4-4;6;1;3;4;4;spinal artery
;6-1-3-5;6;1;3;5;;renal arteries
;6-1-3-6;6;1;3;6;;arteries of upper extremity
;6-1-3-6-1;6;1;3;6;1;subclavian artery
;6-1-3-6-2;6;1;3;6;2;arm
;6-1-3-6-3;6;1;3;6;3;forearm
;6-1-3-6-4;6;1;3;6;4;hand
;6-1-3-7;6;1;3;7;;arteries of lower extremity
;6-1-3-7-1;6;1;3;7;1;iliac artery
;6-1-3-7-2;6;1;3;7;2;thigh
;6-1-3-7-3;6;1;3;7;3;leg
;6-1-3-7-4;6;1;3;7;4;foot
;6-1-4;6;1;4;;;dialysis shunt
;6-2;6;2;;;;veins
;6-2-1;6;2;1;;;cerebral sinus
;6-2-2;6;2;2;;;veins of upper extremity
;6-2-2-1;6;2;2;1;;subclavian vein
;6-2-2-2;6;2;2;2;;arm
;6-2-2-3;6;2;2;3;;forearm
;6-2-2-4;6;2;2;4;;hand
;6-2-3;6;2;3;;;superior vena cava
;6-2-4;6;2;4;;;inferior vena cava
;6-2-5;6;2;5;;;hepatic vein
;6-2-6;6;2;6;;;renal vein
;6-2-6-1;6;2;6;1;;spermatic / ovaric vein
;6-2-7;6;2;7;;;veins of lower extremity
;6-2-7-1;6;2;7;1;;iliac vein / veins of leg
;6-2-7-2;6;2;7;2;;thigh
;6-2-7-3;6;2;7;3;;leg
;6-2-7-4;6;2;7;4;;foot
;6-3;6;3;;;;lyphatic vessels
;6-3-1;6;3;1;;;whole body
;6-3-2;6;3;2;;;head
;6-3-3;6;3;3;;;neck
;6-3-4;6;3;4;;;thorax
;6-3-5;6;3;5;;;abdomen
;6-3-6;6;3;6;;;upper extremity
;6-3-7;6;3;7;;;lower extremity
;7;7;;;;;breast
;7-1;7;1;;;;mammary duct
